name,href,phone
Столична Ювелірна Фабрика,http://stolychnashop.com.ua,+38(097) 990 05 85
Universal Fish Company,http://www.ufc-fish.com,
"Хекса, ТОВ",http://hexa.com.ua,
Pro Pharma,http://pro-pharma.ua,
Столична Ювелірна Фабрика,http://stolychnashop.com.ua,+38(097) 990 05 85
Universal Fish Company,http://www.ufc-fish.com,
"Хекса, ТОВ",http://hexa.com.ua,
Pro Pharma,http://pro-pharma.ua,
Столична Ювелірна Фабрика,http://stolychnashop.com.ua,+38(097) 990 05 85
Universal Fish Company,http://www.ufc-fish.com,
"Хекса, ТОВ",http://hexa.com.ua,
Pro Pharma,http://pro-pharma.ua,
"Carlsberg Ukraine, PJSC",http://www.carlsbergukraine.com,
"Клаудфреш, ТОВ",http://cloudfresh.com/en/,0687771213
EvoPlay,http://evoplay.com,
Medvoice,http://medvoice.net,
Планета Кіно,http://planetakino.ua/,0674108518
Softum,http://softum.io/,+38(063) 700 48 79
ManpowerGroup Ukraine,http://www.manpowergroup.com,+38 044 594 55 05
Бритіш Американ Тобакко Україна,http://bat.ua,
NIX,http://www.nixsolutions.com/ua/,
"Сити Лайм, ООО",http://www.parfumburo.com,(067) 533 51 53
АТБ-маркет,http://www.atbmarket.com,
Softum,http://softum.io/,+38(063) 700 48 79
"Дарниця, фармацевтична компанія",http://www.darnitsa.ua,
Столична Ювелірна Фабрика,http://stolychnashop.com.ua,+38(097) 990 05 85
Universal Fish Company,http://www.ufc-fish.com,
"Хекса, ТОВ",http://hexa.com.ua,
Pro Pharma,http://pro-pharma.ua,
"Carlsberg Ukraine, PJSC",http://www.carlsbergukraine.com,
"Клаудфреш, ТОВ",http://cloudfresh.com/en/,0687771213
EvoPlay,http://evoplay.com,
Medvoice,http://medvoice.net,
Планета Кіно,http://planetakino.ua/,0674108518
Softum,http://softum.io/,+38(063) 700 48 79
ManpowerGroup Ukraine,http://www.manpowergroup.com,+38 044 594 55 05
Бритіш Американ Тобакко Україна,http://bat.ua,
NIX,http://www.nixsolutions.com/ua/,
"Сити Лайм, ООО",http://www.parfumburo.com,(067) 533 51 53
АТБ-маркет,http://www.atbmarket.com,
Softum,http://softum.io/,+38(063) 700 48 79
"Дарниця, фармацевтична компанія",http://www.darnitsa.ua,
Softum,http://softum.io/,+38(063) 700 48 79
Talent Hunters Hub,http://www.i.ua/,
Softum,http://softum.io/,+38(063) 700 48 79
Softum,http://softum.io/,+38(063) 700 48 79
Giftmall,http://giftmall.ua,
"Бінотел, ТОВ",http://binotel.ua,099 554 2033
Gameloft,http://www.gameloft.com,+380 73 092 63 48
Турум-бурум,http://turumburum.ua,
Softum,http://softum.io/,+38(063) 700 48 79
EvoPlay,http://evoplay.com,
EvoPlay,http://evoplay.com,
EvoPlay,http://evoplay.com,
Sky Loft Hotel Kyiv by Rixwell,http://www.rixwell.com/en,
Sky Loft Hotel Kyiv by Rixwell,http://www.rixwell.com/en,
Київстар,http://www.kyivstar.ua,
Transporeon,http://www.transporeon.com/en,(044) 585-5935
HS-Soft Switzerland llc,http://www.hssoft.com/open-positions,+380631993985
Столична Ювелірна Фабрика,http://stolychnashop.com.ua,+38(097) 990 05 85
Universal Fish Company,http://www.ufc-fish.com,
"Хекса, ТОВ",http://hexa.com.ua,
Pro Pharma,http://pro-pharma.ua,
"Carlsberg Ukraine, PJSC",http://www.carlsbergukraine.com,
"Клаудфреш, ТОВ",http://cloudfresh.com/en/,0687771213
EvoPlay,http://evoplay.com,
Medvoice,http://medvoice.net,
Планета Кіно,http://planetakino.ua/,0674108518
Softum,http://softum.io/,+38(063) 700 48 79
ManpowerGroup Ukraine,http://www.manpowergroup.com,+38 044 594 55 05
Бритіш Американ Тобакко Україна,http://bat.ua,
NIX,http://www.nixsolutions.com/ua/,
"Сити Лайм, ООО",http://www.parfumburo.com,(067) 533 51 53
АТБ-маркет,http://www.atbmarket.com,
Softum,http://softum.io/,+38(063) 700 48 79
"Дарниця, фармацевтична компанія",http://www.darnitsa.ua,
Softum,http://softum.io/,+38(063) 700 48 79
Talent Hunters Hub,http://www.i.ua/,
Softum,http://softum.io/,+38(063) 700 48 79
Softum,http://softum.io/,+38(063) 700 48 79
Giftmall,http://giftmall.ua,
"Бінотел, ТОВ",http://binotel.ua,099 554 2033
Gameloft,http://www.gameloft.com,+380 73 092 63 48
Турум-бурум,http://turumburum.ua,
Softum,http://softum.io/,+38(063) 700 48 79
EvoPlay,http://evoplay.com,
EvoPlay,http://evoplay.com,
EvoPlay,http://evoplay.com,
The WhyKingz,http://whykingz.com/uk/,050 067 22 25
Quintagroup,http://quintagroup.com,
Project Ukraine,http://projectukraine.online,
Project Ukraine,http://projectukraine.online,
Товариство Червоного Хреста України,http://redcross.org.ua/vacancy/,
Товариство Червоного Хреста України,http://redcross.org.ua/vacancy/,
Futurra Group,http://futurragroup.com/,
EvoPlay,http://evoplay.com,
Intropia,http://www.maritimelp.com/,
"Філіп Морріс Україна, ПрАТ",http://www.pmi.com/markets/ukraine/uk/about-us/overview,
Futurra Group,http://futurragroup.com/,
Товариство Червоного Хреста України,http://redcross.org.ua/vacancy/,
TerraForce Software,http://terraforcesoftware.com,0981796341
"БаДМ, ТОВ",http://badm.ua/ua/,(056) 731-95-15
Interactivity,http://www.i.ua/,
Interactivity,http://www.i.ua/,
Stfalcon,http://stfalcon.com,
Медичний центр здоров'я,http://medzdrav.com.ua/,
Exist.ua,http://www.exist.ua,+38-050-404-65-02
SmartDev,http://www.smartdevgames.com,
ПриватБанк,http://privatbank.ua,
Tripcons LTD,http://www.cityunscripted.com/,
Товариство Червоного Хреста України,http://redcross.org.ua/vacancy/,
Next Level Apps,http://nextlvlapps.com/,+380 730 812 251
Товариство Червоного Хреста України,http://redcross.org.ua/vacancy/,
EvoPlay,http://evoplay.com,
PrimeHost,http://www.i.ua/,+38 066 901-65-89
Netpeak Group,http://netpeak.group/,
IT-Solutions,http://www.it-solutions.ua,+380633768836
OTP Bank,http://www.otpbank.com.ua,
"Метро-Пей, ТОВ",http://www.i.ua/,
Vodafone Україна,http://career.vodafone.ua,
Boosta Inc,http://www.boosta.biz,
Platipus LTD,http://platipusgaming.com/,
Товариство Червоного Хреста України,http://redcross.org.ua/vacancy/,
Ozzylogik LTD,http://ozzylogik.com/,
Vitamaized,http://vitamaized.com,
Megogo,http://megogo.net/ua,
Vodafone Україна,http://career.vodafone.ua,
Цитрус,http://www.ctrs.com.ua,
VT Labs,http://www.vtlabs.org,
"ОН Клінік, мережа медичних центрів",http://www.onclinic.ua,
"Доброград, група компаній",http://dobrograd.ua/,
"Чудо острiв, мережа дитячих супермаркетiв",http://chudo-ostriv.com.ua/,
Platipus LTD,http://platipusgaming.com/,
Benish GPS,http://www.benishgps.com,067 324 93 15
ДзвінОк,http://dzvinok.ua,050 816-67-77
Livepage,http://livepage.ua,
Медирент,http://medirent.ua,
ПриватБанк,http://privatbank.ua,
JatApp,http://jatapp.biz/ua/,
PNN Soft,http://pnnsoft.com,
Binerals,http://binerals.com,
Boosta Inc,http://www.boosta.biz,
Авеб,http://aweb.ua/ua/,(044) 538-01-61
Miraton,http://www.miraton.ua,
Hemo Medika,http://hemomedika.com.ua,
Chaika Tech Inc,http://chaika.cc/,
Eldorado.ua,http://www.work.eldorado.ua/,
"Медичні закупівлі України, ДП",http://medzakupivli.com/uk/,
"Фора, ТОВ",http://fora.ua/karera/vakansii/,
EvoPlay,http://evoplay.com,
Go interactive!,http://www.gointeractive.co,
UKFN Group,http://www.i.ua/,+380688789016
NIX,http://www.nixsolutions.com/ua/,
Датагруп & Volia,http://www.datagroup.ua,
АТБ-маркет,http://www.atbmarket.com,
"Фаворит, агропромислова компанія",http://www.favorit.ltd,+38 (067) 521-59-99
Smart Solutions,http://www.smart-hr.com.ua,
EvoPlay,http://evoplay.com,
Favbet,http://favbet.ua,
"Віват Трейдінг, ТОВ",http://www.vivat.in.ua,+38 (093) 325-09-43
Squro,http://squro.com,
Exist.ua,http://www.exist.ua,+38-050-404-65-02
VF Consulting services,http://www.vfsglobal.com/,
SoftConstruct,http://www.softconstruct.io,
ПриватБанк,http://privatbank.ua,
NIX,http://www.nixsolutions.com/ua/,
Starlight Media,http://starlight.media/,
Livepage,http://livepage.ua,
Leeloo.ai,http://web.leeloo.ai/leeloohr,
EvoPlay,http://evoplay.com,
Yellow Stone,http://yellowstone.com.ua,
DTEK,http://dtek.com,
EvoPlay,http://evoplay.com,
Smart Solutions,http://www.smart-hr.com.ua,
UKEESS Software House,http://www.ukeess.com,
DMP Development Group,http://www.dmp-development.com,067 327 5409
Ортомедіка Груп,http://ortomedica.ua,+38 066 882 16 42
Everad,http://everad.com,
"Інтербуд, будівельна компанія, ТОВ",http://www.i.ua/,(067) 242 60 34
Netpeak,http://netpeak.ua,
Netpeak,http://netpeak.ua,
EvoPlay,http://evoplay.com,
Група Нафтогаз,http://www.naftogaz.com,
DiJust,http://dijust.com,
Talent Hunters Hub,http://www.i.ua/,
DC Link,http://dclink.ua/,067-502-69-96
Датагруп & Volia,http://www.datagroup.ua,
Vodafone Україна,http://career.vodafone.ua,
"Баядера Логістик, ТОВ",http://bayaderagroup.com/,
Talent Hunters Hub,http://www.i.ua/,
Сілта-Колор,http://silta.ua,
Твій Cosmetolog,http://www.i.ua/,
Wild Wild Leads,http://www.i.ua/,+380980813258
NIX,http://www.nixsolutions.com/ua/,
World Vision Ukraine,http://www.wvi.org/emergencies/ukraine,
Aroma kava,http://aromakava.ua,
Rezet,http://rezet.io,0681830877
PRO.people Recruitment Agency,http://www.i.ua/,
Profit Center FX,http://profitcenterfx.com,
1+1 media,http://media.1plus1.ua,
DMP Development Group,http://www.dmp-development.com,067 327 5409
Укрпродукт Групп,http://www.ukrproduct.com,
Redlab,http://www.redlab.bz,+380638119855
Vodafone Україна,http://career.vodafone.ua,
"Добробут, ММ",http://med.dobrobut.com/,
DevPort,http://devport.io/,+380991548504
DevPort,http://devport.io/,+380991548504
Цитрус,http://www.ctrs.com.ua,
TechMagic,http://www.techmagic.co,
Webpromo,http://www.web-promo.ua,+380981070248
Softum,http://softum.io/,+38(063) 700 48 79
Sense Bank,http://www.sensebank.com.ua,
Softum,http://softum.io/,+38(063) 700 48 79
Райффайзен Банк,http://raiffeisen.ua,
"Eva, лінія магазинів",http://work.eva.ua/,
"Kolir, салон краси",http://www.i.ua/,0939104749
"Турбо Веб Маркетинг, ООО",http://www.i.ua/,
Цитрус,http://www.ctrs.com.ua,
EVA.tech,http://work.eva.ua/,
"OKwine, мережа виномаркетів",http://okwine.ua,+380504099306
DTEK,http://dtek.com,
Eldorado.ua,http://www.work.eldorado.ua/,
"Пріметалс Текнолоджіз Україна, ТОВ",http://www.primetals.com,
Аптека АНЦ,http://anc.ua,+38 (050) 364 - 88 - 74
DS Partners,http://www.i.ua/,
ПриватБанк,http://privatbank.ua,
"Укрексімбанк, АТ",http://www.eximb.com,
ТАС,http://tascombank.ua/,
IT-Solutions,http://www.it-solutions.ua,+380633768836
Автек,http://www.avtek.ua,(044) 496-00-51
ZEZMAN,http://www.zezman.ua,+380675400283
Inwhite,http://www.iws.ua,
Makeup,http://makeup.com.ua,
Полімерсервіс,http://polymerservice.ua/,+38 050 364 30 22
"Сільпо, мережа супермаркетів",http://www.silpo.ua/work,
YEDNIST’ GROUP,https://www.facebook.com/Edinstvo-Group-101911025641800/,+380504642319
N-iX,http://careers.n-ix.com/,+38 032 229 57 67
Ocean Digital,http://oceandigital.top/,
ASAP Solution,http://www.i.ua/,
DTEK,http://dtek.com,
Vodafone Україна,http://career.vodafone.ua,
Comfy,http://work.comfy.ua,
Віатек,http://viatec.ua/,+380997003797
Планета Кіно,http://planetakino.ua/,0674108518
Планета Кіно,http://planetakino.ua/,0674108518
Фокстрот,http://foxtrot.work,
"Кейк Альянс, ТОВ",http://www.i.ua/,
Авеб,http://aweb.ua/ua/,(044) 538-01-61
"Yakaboo.ua, книжкова платформа",http://www.yakaboo.ua,
ПриватБанк,http://privatbank.ua,
EvoPlay,http://evoplay.com,
АТБ-маркет,http://www.atbmarket.com,
АТБ-маркет,http://www.atbmarket.com,
"ARX, страховая компания",http://arx.com.ua/,
Smart Solutions,http://www.smart-hr.com.ua,
EVO,http://evo.company,
Vodafone Retail Україна,http://www.i.ua/,
De Novo,http://denovo.ua,(044) 200-93-39
AIR Media-Tech,http://www.air.io,
Kraken Leads,http://krakenleads.com,
ПриватБанк,http://privatbank.ua,
Авеб,http://aweb.ua/ua/,(044) 538-01-61
DTEK,http://dtek.com,
Vodafone Україна,http://career.vodafone.ua,
Новус,http://www.novus.ua,
Platipus LTD,http://platipusgaming.com/,
"Сузір'я, ГК",http://suziria.ua,
"Арсенал-Центр, промышленная группа",http://www.arsenal-center.com.ua,044 454 47 43
Авеб,http://aweb.ua/ua/,(044) 538-01-61
Vitamaized,http://vitamaized.com,
Факультет-Фарм,http://www.facultet-farm.ua,(056) 374 24 19
HYS Enterprise,http://www.hys-enterprise.com,
"Хлібпром, ПрАТ",http://www.hlibprom.com.ua,
ПриватБанк,http://privatbank.ua,
Eldorado.ua,http://www.work.eldorado.ua/,
"Фора, ТОВ",http://fora.ua/karera/vakansii/,
"БаДМ, ТОВ",http://badm.ua/ua/,(056) 731-95-15
IT-Step (Харків),http://www.itstep.kh.ua,+380961422191
PRO.people Recruitment Agency,http://www.i.ua/,
Датагруп & Volia,http://www.datagroup.ua,
Athletics,http://athletics.kiev.ua,
Zeeks,http://zeeks.co/uk/,
Mitridat Container Transport,http://www.mitridat.odessa.ua/uk/,
EVA.tech,http://work.eva.ua/,
QATestLab,http://career.qatestlab.eu/,
Leadsdoit,http://leadsdoit.com,
Київстар,http://www.kyivstar.ua,
PIN-UP Global,http://pin-up.global/,
SupportYourApp,http://supportyourapp.com,
PNN Soft,http://pnnsoft.com,
METRO Україна,http://www.metro.ua,
Будинок іграшок,http://bi.ua,
"Юніон Трейд Плюс, ПП",http://untp.com.ua,093-105-44-10
Київстар,http://www.kyivstar.ua,
ASAP Solution,http://www.i.ua/,
Halo Lab,http://www.halo-lab.com,0487962106
Miraton,http://www.miraton.ua,
NovaPay,http://novapay.ua/,
Київстар,http://www.kyivstar.ua,
Vodafone Україна,http://career.vodafone.ua,
DMP Development Group,http://www.dmp-development.com,067 327 5409
ПриватБанк,http://privatbank.ua,
IT Step Academy,http://kiev.itstep.org/,
lifecell,http://www.lifecell.ua,
"Укрексімбанк, АТ",http://www.eximb.com,
Meest China,http://meest.cn/,
"Leoland, спортивно-розважальний комплекс",http://leoland.ua/,+380673107820
EvoPlay,http://evoplay.com,
Датагруп & Volia,http://www.datagroup.ua,
Авеб,http://aweb.ua/ua/,(044) 538-01-61
Megogo,http://megogo.net/ua,
"Аграрні Системні Технології, ТОВ",http://www.ast.ua,
SI BIS,http://sibis.com.ua,044-499-12-12
Київский маргариновий завод (Олком),http://www.i.ua/,
IT-Enterprise,http://www.it.ua,
Датагруп & Volia,http://www.datagroup.ua,
METRO Україна,http://www.metro.ua,
Київстар,http://www.kyivstar.ua,
Бритіш Американ Тобакко Україна,http://bat.ua,
Eldorado.ua,http://www.work.eldorado.ua/,
UKRSIBBANK BNP Paribas Group,http://www.ukrsibbank.com,
Академія А+,http://aplus.ua,+380 44 364 1 364
Starlight Media,http://starlight.media/,
Promodo,http://www.promodo.ua,
Skelar,http://www.skelar.tech/,
Vodafone Україна,http://career.vodafone.ua,
"Салтівський м'ясокомбінат, ТОВ",http://www.smk-group.com.ua/,0672501940
UKRSIBBANK BNP Paribas Group,http://www.ukrsibbank.com,
Proxima Research International,http://proximaresearch.ua,
"BDO, LLC",http://www.bdo.ua,
"Кейк Альянс, ТОВ",http://www.i.ua/,
AIR Media-Tech,http://www.air.io,
"Брокард-Україна, ТОВ",http://www.brocard.ua,
Піранья Тех,http://www.piranha-tech.com,
Eldorado.ua,http://www.work.eldorado.ua/,
Upstars,http://upstars.com/,
"Автоцентр-Кременчук-2012, ТОВ",http://www.skoda-kremen.com.ua/,
World Vision Ukraine,http://www.wvi.org/emergencies/ukraine,
Meest China,http://meest.cn/,
ProSteer Group,http://prosteergroup.com,
PRO.people Recruitment Agency,http://www.i.ua/,
Київстар,http://www.kyivstar.ua,
SkillUp,http://skillup.ua/ua/,
"Тікетс.Юей, ТОВ",http://www.tickets.ua,0673226225
NIX,http://www.nixsolutions.com/ua/,
"Баядера Логістик, ТОВ",http://bayaderagroup.com/,
"Фаворит, агропромислова компанія",http://www.favorit.ltd,+38 (067) 521-59-99
Protech Solutions Ukraine,http://www.protech-solutions.com.ua,
Ektos,http://ektos.net,(057) 789-50-90      (050) 404 43 31
Zelh,http://zelh.com,
lifecell,http://www.lifecell.ua,
Diamond Agency,http://www.i.ua/,
GroupBWT,http://groupbwt.com,(068) 801-50-61
Livepage,http://livepage.ua,
"Максима, ЮФ, ООО",http://www.i.ua/,
PrimeHost,http://www.i.ua/,+38 066 901-65-89
UKRSIBBANK BNP Paribas Group,http://www.ukrsibbank.com,
Vodafone Україна,http://career.vodafone.ua,
FORTA,http://www.forta.store/,
Прикарпаттяобленерго,http://www.oe.if.ua,050-525-14-14
dok.ua,http://dok.ua,+38 (063) 437-26-37
PIN-UP Global,http://pin-up.global/,
EvoPlay,http://evoplay.com,
Клевер Сторс,http://work.sim23.ua/,
Авеб,http://aweb.ua/ua/,(044) 538-01-61
PrimeHost,http://www.i.ua/,+38 066 901-65-89
EvoPlay,http://evoplay.com,
MustHave,http://www.musthave.ua,
Vodafone Україна,http://career.vodafone.ua,
1+1 media,http://media.1plus1.ua,
16.web,http://16-web.com,0953866776
ТАС,http://tascombank.ua/,
Apriorit,http://www.apriorit.com,+38098-160-88-90
AmzProfessional,http://www.i.ua/,+380680230113
Юнiк Трейд,http://utr.ua/,
"Укратлантік, ТОВ",http://www.groupe-atlantic.com,
Blest,http://blest.ua,063 038 28 49
Цитрус,http://www.ctrs.com.ua,
Pethouse,http://pethouse.ua,
LIGA ZAKON,http://ligazakon.net,
Український процесінговий центр,http://www.upc.ua,
CS,http://csltd.com.ua/,057-760-13-67
"Долфі-Україна, ТОВ",http://dolphi-ukraine.com.ua,067 244 06 22
"Копійка, торгова мережа",http://kopeyka.com.ua/,050-333-45-83
"Пчелка, сеть продуктово-розничных магазинов",http://pchelkamarket.kiev.ua,073 341 85 04
"Дніпропластавтомат, ВП, ТОВ",http://www.dnpa.com.ua/,066 579 94 89
ПриватБанк,http://privatbank.ua,
STV group,http://stv-group-ukraine.com/,0953029239
Група Компаній Форс,http://www.force.ua,
"Прозорро.Продажі, АТ",http://prozorro.sale/,
3Shape Ukraine,http://www.3shape.com,
DTEK,http://dtek.com,
Caritas Ukraine,http://www.caritas-ua.org,
Freelance Video Editors,http://fv-e.com,
Admix Global,http://admixglobal.com,
Київстар,http://www.kyivstar.ua,
EvoPlay,http://evoplay.com,
"Укргазбанк, АБ",http://www.ukrgasbank.com/,
Netpeak,http://netpeak.ua,
Leadsdoit,http://leadsdoit.com,
ISD,http://www.isd.dp.ua,+3-8-050-480-13-93
Skelar,http://www.skelar.tech/,
SettlePay,http://settlepay.net/,
Ajax Systems,http://www.ajax.systems,
Укрпошта,http://www.ukrposhta.ua,
SettlePay,http://settlepay.net/,
Vodafone Україна,http://career.vodafone.ua,
"BPO Nextdoor, Inc.",http://bponextdoor.com/careers/,
Укроргсинтез,http://www.uoslab.com,(044) 5022081
JustSchool,http://justschool.me/,
"АТБ, корпорация",http://www.atb.ua,
Welltech,http://welltech.com/,
NIX,http://www.nixsolutions.com/ua/,
"АТБ, корпорация",http://www.atb.ua,
GG.BET,http://www.linkedin.com/company/gg-bet/,
"Сільпо, мережа супермаркетів",http://www.silpo.ua/work,
Netpeak,http://netpeak.ua,
EVA.tech,http://work.eva.ua/,
АПК-ІНВЕСТ,http://apk-invest.com.ua,+380500646464
EvoPlay,http://evoplay.com,
ERC,http://erc.ua,+38 044 230-34-74
Кібернетики,http://kibernetiki.com.ua,+38 050 046 26 28
"KIDDISVIT, ГК",http://www.kiddisvit.ua,(056) 790-01-55
EvoPlay,http://evoplay.com,
Avalis,http://www.avalis.com.ua,
Autodoc,http://www.autodoc.eu,
ВіЯр,http://viyar.ua/vacancy/,
FixIQ,http://fixiq.pro,+380673137707
Датагруп & Volia,http://www.datagroup.ua,
Comfy,http://work.comfy.ua,
EvoPlay,http://evoplay.com,
Avalis,http://www.avalis.com.ua,
3Shape Ukraine,http://www.3shape.com,
Space Marketing,http://www.i.ua/,
Renesas Electronics,http://www.renesas.com/us/en,
Ябко,http://jabko.ua,
ПК-Сервіс,http://pc-service.dp.ua,050-708-82-17
Gameloft,http://www.gameloft.com,+380 73 092 63 48
ПриватБанк,http://privatbank.ua,
Innoware,http://www.innoware.com,(044) 490-22-20
25 Coffee Roasters,http://www.25coffeeroasters.ua,
Авеб,http://aweb.ua/ua/,(044) 538-01-61
"Хоум-Нет, ТОВ",http://homenet.ua,0632786513
Ajax Systems,http://www.ajax.systems,
Аптека АНЦ,http://anc.ua,+38 (050) 364 - 88 - 74
"Княжа, українська страхова компанія",http://kniazha.ua,044 207-72-72
"Inweb, агенція digital-маркетингу",http://inweb.ua,048 770-10-70
Авеб,http://aweb.ua/ua/,(044) 538-01-61
"Сільпо, мережа супермаркетів",http://www.silpo.ua/work,
Fozzy group,http://www.fozzy.ua,
CRMiUM,http://crmium.com/,
24Play,http://24play.games,
Алло,http://work.allo.ua,
Райффайзен Банк,http://raiffeisen.ua,
dok.ua,http://dok.ua,+38 (063) 437-26-37
"Дент-Арт, ООО",http://www.dent-art.com.ua,
ВіЯр,http://viyar.ua/vacancy/,
SettlePay,http://settlepay.net/,
DTEK,http://dtek.com,
Virtual Managers,http://v-mg.com,
Sigma Software,http://career.sigma.software,
"Фора, ТОВ",http://fora.ua/karera/vakansii/,
Новус,http://www.novus.ua,
АТБ-маркет,http://www.atbmarket.com,
"Wezom, IT-компания",http://www.wezom.com.ua,
G.R. Agro,http://gr-agro.com/,
Спецмонтажсервис К,http://www.i.ua/,
Vodafone Україна,http://career.vodafone.ua,
Віатек,http://viatec.ua/,+380997003797
Boosta Inc,http://www.boosta.biz,
Датагруп & Volia,http://www.datagroup.ua,
Konsol Studio,http://konsol.studio,
Binariks Inc.,http://binariks.com,
"Альфа Сервіс Плюс, ТОВ",http://www.avtoservice.od.ua/,
GroupBWT,http://groupbwt.com,(068) 801-50-61
Мережа Ланет,http://www.lanet.ua,
Vitamaized,http://vitamaized.com,
Райффайзен Банк,http://raiffeisen.ua,
"Волинська Фондова Компанія, ПрАТ",http://www.vfc.com.ua,
АКО Індастріс,http://www.aco.com,+380677170300
Керхер,http://www.karcher.ua,(044) 594-75-00
V&A,http://www.i.ua/,
Promodo,http://www.promodo.ua,
Soft Industry,http://soft-industry.com,+38096-478-72-10
Ozzylogik LTD,http://ozzylogik.com/,
АТБ-маркет,http://www.atbmarket.com,
АТБ-маркет,http://www.atbmarket.com,
Авеб,http://aweb.ua/ua/,(044) 538-01-61
Netpeak,http://netpeak.ua,
Netpeak,http://netpeak.ua,
Зміст Всередині,http://si.land,+380633758492
Новус,http://www.novus.ua,
"Split Development, LLC",http://splitdev.pro,0950760817
"Split Development, LLC",http://splitdev.pro,0950760817
Cyborgs.pro,http://cyborgs.pro,
Мережа Ланет,http://www.lanet.ua,
"Level Up, учебный IT-центр",http://levelup.ua/,+380505403385
Алло,http://work.allo.ua,
Синхронік,http://www.i.ua/,0953287920
EVO,http://evo.company,
Мегатрейд,http://megatrade.ua,0667411068
Фокстрот,http://foxtrot.work,
Синхронік,http://www.i.ua/,0953287920
Фокстрот,http://foxtrot.work,
Беліф,http://www.i.ua/,
Respublika Park,http://respublikapark.com.ua/,
Uklon,https://www.linkedin.com/company/uklontech,
ПриватБанк,http://privatbank.ua,
